epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59155,1.95482,3.49199,1.94615,0.00515,0.68182,0.06733,0.03014,1.75314,3.97973,1.77918,0.00011669,0.00011669,0.00011669
2,15.105,1.89809,3.53995,1.95963,0.00576,0.7013,0.07169,0.03615,1.76875,3.84039,1.73947,0.000233547,0.000233547,0.000233547
3,22.6128,1.79404,3.30808,1.814,0.00526,0.62987,0.07627,0.03268,1.85709,3.90787,1.80669,0.0003328,0.0003328,0.0003328
4,29.9836,1.75749,3.16054,1.73944,0.00571,0.67532,0.07393,0.03762,1.90105,3.87633,1.87006,0.00041445,0.00041445,0.00041445
5,37.7317,1.7085,3.13674,1.66273,0.00571,0.67532,0.10029,0.03466,1.79969,3.81676,1.87583,0.000478496,0.000478496,0.000478496
6,45.5215,1.63435,3.10381,1.60355,0.00571,0.7013,0.15994,0.04741,1.64808,3.70821,1.82643,0.000524938,0.000524938,0.000524938
7,52.983,1.86884,3.39322,1.77161,0.00666,0.79221,0.19497,0.09402,1.57394,3.62757,1.70232,0.000553777,0.000553777,0.000553777
8,60.5234,1.53621,2.8564,1.52725,0.73734,0.13636,0.16925,0.08271,1.58045,3.45985,1.69602,0.000565013,0.000565013,0.000565013
9,68.1011,1.54604,2.89938,1.62524,0.74445,0.13636,0.16484,0.07122,1.70971,3.35091,1.72289,0.000558645,0.000558645,0.000558645
10,75.455,1.45867,2.92045,1.5602,0.74445,0.13636,0.16484,0.07122,1.70971,3.35091,1.72289,0.000534674,0.000534674,0.000534674
11,82.8964,1.61866,3.29731,1.58572,0.84948,0.13636,0.20553,0.09004,1.63991,3.34334,1.78431,0.000493099,0.000493099,0.000493099
12,90.3151,1.55537,2.82454,1.58982,0.84948,0.13636,0.20553,0.09004,1.63991,3.34334,1.78431,0.00043392,0.00043392,0.00043392
13,97.6531,1.48277,2.69869,1.57493,0.91839,0.13636,0.28612,0.14615,1.73505,3.3093,1.83585,0.000346736,0.000346736,0.000346736
14,105.227,1.50302,2.74574,1.53068,0.91839,0.13636,0.28612,0.14615,1.73505,3.3093,1.83585,0.000236714,0.000236714,0.000236714
15,112.572,1.47838,2.60251,1.53463,0.75028,0.18182,0.33228,0.20158,1.72717,3.12273,1.79513,0.000126692,0.000126692,0.000126692
